State,Obama,McCain,Start,End,Pollster
MO,49,48,Sep 28,Sep 30,Opinion Research
MO,46,48,Sep 23,Sep 24,SurveyUSA
MO,45,50,Sep 11,Sep 15,ARG
MO,46,51,Sep 11,Sep 11,Rasmussen
MO,45,50,Sep 07,Sep 09,Opinion Research
MO,41,48,Aug 07,Aug 07,Rasmussen
MO,44,49,Jul 29,Jul 31,SurveyUSA
MO,42,47,Jul 07,Jul 07,Rasmussen
MO,43,50,Jun 20,Jun 22,SurveyUSA
MO,43,42,Jun 03,Jun 03,Rasmussen
MO,45,43,May 16,May 18,SurveyUSA
MO,41,47,May 06,May 06,Rasmussen
MO,42,50,Apr 11,Apr 13,SurveyUSA
MO,38,53,Mar 24,Mar 24,Rasmussen
MO,39,53,Mar 14,Mar 16,SurveyUSA
MO,42,48,Feb 26,Feb 28,SurveyUSA
MO,49,43,Feb 15,Feb 17,SurveyUSA
MO,40,42,Feb 12,Feb 12,Rasmussen
MT,46,49,Oct 28,Oct 30,ARG
MT,46,50,Oct 29,Oct 29,Rasmussen
MT,44,48,Oct 23,Oct 25,Mason-Dixon
MT,44,40,Oct 16,Oct 20,Montana State U.
MT,45,50,Oct 06,Oct 08,ARG
MT,44,52,Oct 01,Oct 01,Rasmussen
MT,43,54,Sep 21,Sep 23,Opinion Research
MT,47,49,Sep 07,Sep 09,ARG
MT,42,53,Sep 08,Sep 08,Rasmussen
MT,44,45,Jul 29,Jul 29,Rasmussen
MT,48,43,Jul 01,Jul 01,Rasmussen
MT,39,47,May 19,May 21,Mason-Dixon
MT,43,48,Apr 06,Apr 06,Rasmussen
MT,39,47,Feb 26,Feb 28,SurveyUSA
NE,37,56,Sep 30,Sep 30,Rasmussen
NE,34,60,Sep 12,Sep 17,ARG
NE,32,50,Jul 28,Jul 28,Rasmussen
NE,36,52,Jun 23,Jun 23,Rasmussen
NE,40,49,May 16,May 18,SurveyUSA
NE,39,50,May 15,May 15,Rasmussen
NE,42,45,Feb 26,Feb 28,SurveyUSA
NV,51,43,Oct 30,Nov 02,Zogby
NV,47,43,Oct 28,Oct 29,Mason-Dixon
NV,52,45,Oct 23,Oct 28,Opinion Research
NV,50,46,Oct 27,Oct 27,Rasmussen
NV,48,44,Oct 23,Oct 26,Zogby
NV,50,40,Oct 26,Oct 26,Suffolk U.
NV,52,40,Oct 23,Oct 26,GfK Roper
NV,51,46,Oct 19,Oct 21,Opinion Research
NV,47,47,Oct 19,Oct 19,Insider Advantage
NV,50,45,Oct 16,Oct 16,Rasmussen
NV,49,46,Oct 13,Oct 13,Insider Advantage
NV,47,45,Oct 08,Oct 09,Mason-Dixon
NV,49,47,Oct 06,Oct 06,Insider Advantage
NV,51,47,Oct 02,Oct 02,Rasmussen
NV,48,47,Sep 30,Sep 30,Insider Advantage
NV,51,47,Sep 28,Sep 30,Opinion Research
NV,47,49,Sep 27,Sep 29,ARG
NV,45,46,Sep 17,Sep 21,Suffolk U.
NV,46,49,Sep 12,Sep 14,ARG
NV,46,49,Sep 11,Sep 11,Rasmussen
NV,45,46,Sep 09,Sep 10,Insider Advantage
NV,49,44,Aug 24,Aug 26,Opinion Research
NV,39,46,Aug 13,Aug 15,Mason-Dixon
NV,42,45,Aug 11,Aug 11,Rasmussen
NV,42,40,Jul 16,Jul 16,Rasmussen
NV,42,45,Jun 18,Jun 18,Rasmussen
NV,42,44,Jun 09,Jun 11,Mason-Dixon
NV,40,46,May 20,May 20,Rasmussen
NV,43,48,Apr 21,Apr 21,Rasmussen
NV,45,41,Mar 19,Mar 19,Rasmussen
NV,46,41,Feb 26,Feb 28,SurveyUSA
NV,50,38,Feb 12,Feb 12,Rasmussen
NH,50,46,Oct 30,Oct 30,Rasmussen
NH,53,39,Oct 28,Oct 30,U. of New Hampshire
NH,53,42,Oct 29,Oct 30,SurveyUSA
NH,56,41,Oct 28,Oct 30,ARG
NH,53,40,Oct 27,Oct 29,Suffolk U.
NH,58,33,Oct 25,Oct 27,U. of New Hampshire
NH,55,37,Oct 22,Oct 26,GfK Roper
NH,50,39,Oct 23,Oct 25,Mason-Dixon
NH,50,45,Oct 22,Oct 23,Marist Coll.
NH,50,46,Oct 23,Oct 23,Rasmussen
NH,54,39,Oct 18,Oct 22,U. of New Hampshire
NH,52,43,Oct 06,Oct 08,ARG
NH,53,45,Oct 03,Oct 06,Opinion Research
NH,53,40,Oct 04,Oct 05,SurveyUSA
NH,53,43,Oct 01,Oct 01,Rasmussen
NH,49,37,Sep 25,Sep 30,Saint Anselm Coll.
NH,46,45,Sep 20,Sep 24,Suffolk U.
NH,47,49,Sep 23,Sep 23,Rasmussen
NH,44,43,Sep 18,Sep 22,Financial Dynamics
NH,45,47,Sep 14,Sep 21,U. of New Hampshire
NH,51,45,Sep 17,Sep 21,Marist Coll.
NH,45,48,Sep 13,Sep 15,ARG
NH,51,45,Sep 07,Sep 09,Opinion Research
NH,46,45,Aug 18,Aug 20,ARG
NH,43,42,Aug 19,Aug 19,Rasmussen
NH,47,41,Jul 23,Jul 23,Rasmussen
NH,47,45,Jul 19,Jul 21,ARG
NH,46,43,Jul 11,Jul 20,U. of New Hampshire
NH,50,39,Jun 18,Jun 18,Rasmussen
NH,51,39,Jun 13,Jun 17,ARG
NH,48,43,May 21,May 21,Rasmussen
NH,39,42,Apr 28,May 02,Dartmouth Coll.
NH,41,51,Apr 30,Apr 30,Rasmussen
NH,43,49,Apr 25,Apr 30,U. of New Hampshire
NH,43,46,Mar 16,Mar 16,Rasmussen
NH,46,44,Feb 26,Feb 28,SurveyUSA
NH,49,36,Feb 11,Feb 11,Rasmussen
NJ,52,42,Oct 29,Oct 30,SurveyUSA
NJ,55,34,Oct 24,Oct 30,Monmouth U.
NJ,53,35,Oct 23,Oct 29,Fairleigh Dickinson U.
NJ,56,39,Oct 20,Oct 21,Marist Coll.
NJ,59,36,Oct 16,Oct 19,Quinnipiac U.
NJ,55,38,Oct 15,Oct 18,Monmouth U.
NJ,55,40,Oct 11,Oct 12,SurveyUSA
NJ,50,42,Oct 07,Oct 07,Rasmussen
NJ,50,37,Sep 29,Oct 05,Fairleigh Dickinson U.
NJ,52,42,Sep 27,Sep 28,SurveyUSA
NJ,51,42,Sep 19,Sep 21,ARG
NJ,55,42,Sep 16,Sep 16,Rasmussen
NJ,48,45,Sep 10,Sep 14,Quinnipiac U.
NJ,49,41,Sep 11,Sep 14,Monmouth U.
NJ,48,45,Sep 05,Sep 08,Marist Coll.
NJ,47,41,Sep 04,Sep 07,Fairleigh Dickinson U.
NJ,51,41,Aug 04,Aug 10,Quinnipiac U.
NJ,48,40,Aug 04,Aug 04,Rasmussen
NJ,50,36,Jul 17,Jul 21,Monmouth U.
NJ,44,39,Jun 07,Jul 07,Rasmussen
NJ,49,33,Jun 17,Jun 23,Fairleigh Dickinson U.
NJ,45,39,Jun 05,Jun 08,Quinnipiac U.
NJ,48,39,Jun 04,Jun 04,Rasmussen
NJ,56,32,Apr 24,Apr 28,Monmouth U.
NJ,47,42,Mar 24,Mar 30,Fairleigh Dickinson U.
NJ,45,46,Mar 27,Mar 27,Rasmussen
NJ,43,43,Feb 26,Feb 28,SurveyUSA
NJ,43,45,Feb 27,Feb 27,Rasmussen
NJ,43,38,Feb 18,Feb 24,Fairleigh Dickinson U.
NJ,46,39,Feb 13,Feb 18,Quinnipiac U.
NM,52,45,Oct 29,Oct 31,SurveyUSA
NM,51,43,Oct 28,Oct 30,Research and Polling
NM,54,44,Oct 28,Oct 28,Rasmussen
NM,52,45,Oct 12,Oct 13,SurveyUSA
NM,55,42,Oct 13,Oct 13,Rasmussen
NM,45,40,Sep 29,Oct 02,Research and Polling
NM,49,44,Oct 01,Oct 01,Rasmussen
NM,52,44,Sep 29,Sep 30,SurveyUSA
NM,51,44,Sep 14,Sep 16,ARG
NM,52,44,Sep 14,Sep 16,SurveyUSA
NM,49,42,Sep 11,Sep 15,Financial Dynamics
NM,47,49,Sep 08,Sep 08,Rasmussen
NM,53,40,Aug 24,Aug 26,Opinion Research
NM,47,41,Aug 20,Aug 20,Rasmussen
NM,41,45,Aug 13,Aug 15,Mason-Dixon
NM,46,41,Jul 24,Jul 24,Rasmussen
NM,49,46,Jun 17,Jun 19,SurveyUSA
NM,47,39,Jun 18,Jun 18,Rasmussen
NM,44,44,May 16,May 18,SurveyUSA
NM,50,41,May 14,May 14,Rasmussen
NM,44,50,Apr 11,Apr 13,SurveyUSA
NM,45,42,Apr 08,Apr 08,Rasmussen
NM,51,45,Mar 14,Mar 16,SurveyUSA
NM,50,43,Feb 26,Feb 28,SurveyUSA
NM,44,44,Feb 17,Feb 18,Rasmussen
NM,55,40,Feb 15,Feb 17,SurveyUSA
NM,41,50,Jan 20,Jan 21,SurveyUSA
NY,62,33,Oct 27,Oct 28,SurveyUSA
NY,65,29,Oct 21,Oct 22,Marist Coll.
NY,62,31,Oct 19,Oct 21,Siena Coll.
NY,57,37,Oct 14,Oct 14,Rasmussen
NY,64,31,Oct 11,Oct 12,SurveyUSA
NY,58,36,Sep 28,Sep 30,Siena Coll.
NY,57,38,Sep 23,Sep 24,SurveyUSA
NY,55,38,Sep 14,Sep 16,ARG
NY,55,42,Sep 15,Sep 15,Rasmussen
NY,46,41,Sep 08,Sep 10,Siena Coll.
NY,47,39,Aug 11,Aug 14,Siena Coll.
NY,52,32,Aug 04,Aug 04,Rasmussen
NY,57,36,Jul 31,Aug 04,Quinnipiac U.
NY,44,26,Jul 17,Jul 29,Siena Coll.
NY,50,37,Jul 07,Jul 10,Siena Coll.
NY,60,29,Jun 30,Jun 30,Rasmussen
NY,57,37,Jun 25,Jun 27,SurveyUSA
NY,51,32,Jun 06,Jun 11,NY Times
NY,51,33,Jun 09,Jun 11,Siena Coll.
NY,50,36,Jun 03,Jun 08,Quinnipiac U.
NY,52,33,May 28,May 28,Rasmussen
NY,48,38,May 16,May 18,SurveyUSA
NY,48,38,May 16,May 17,SurveyUSA
NY,49,38,May 12,May 14,Siena Coll.
NY,52,35,May 01,May 01,Rasmussen
NY,45,40,Apr 13,Apr 16,Siena Coll.
NY,47,39,Apr 14,Apr 15,Quinnipiac U.
NY,52,43,Apr 11,Apr 13,SurveyUSA
NY,46,48,Apr 03,Apr 08,Marist Coll.
NY,49,38,Mar 16,Mar 18,Quinnipiac U.
NY,52,44,Mar 14,Mar 16,SurveyUSA
NY,51,38,Mar 11,Mar 11,Rasmussen
NY,52,38,Feb 26,Feb 28,SurveyUSA
NY,57,36,Feb 15,Feb 17,SurveyUSA
NY,47,40,Feb 11,Feb 14,Siena Coll.
NY,49,43,Jan 20,Jan 21,SurveyUSA
NY,44,42,Jan 14,Jan 17,Siena Coll.
NC,48,49,Oct 30,Nov 02,Zogby
NC,45,38,Oct 27,Oct 30,Elon U.
NC,46,49,Oct 29,Oct 30,Mason-Dixon
NC,48,48,Oct 29,Oct 29,Insider Advantage
NC,50,48,Oct 29,Oct 29,Rasmussen
NC,52,46,Oct 23,Oct 28,Opinion Research
NC,47,43,Oct 23,Oct 27,Financial Dynamics
NC,48,46,Oct 22,Oct 26,GfK Roper
NC,48,49,Oct 26,Oct 26,Rasmussen
NC,50,46,Oct 23,Oct 26,Zogby
NC,47,47,Oct 22,Oct 24,Mason-Dixon
NC,48,50,Oct 23,Oct 23,Rasmussen
NC,48,46,Oct 20,Oct 21,Marshall Marketing
NC,51,47,Oct 19,Oct 21,Opinion Research
NC,47,47,Oct 18,Oct 20,SurveyUSA
NC,45,44,Sep 28,Oct 19,Winthrop U.
NC,49,48,Oct 19,Oct 19,Insider Advantage
NC,51,48,Oct 19,Oct 19,Rasmussen
NC,48,46,Oct 13,Oct 13,Insider Advantage
NC,48,48,Oct 12,Oct 12,Rasmussen
NC,49,48,Oct 08,Oct 08,Rasmussen
NC,46,48,Oct 06,Oct 07,Marshall Marketing
NC,46,49,Oct 05,Oct 06,SurveyUSA
NC,49,49,Oct 03,Oct 06,Opinion Research
NC,50,47,Sep 30,Sep 30,Rasmussen
NC,46,49,Sep 27,Sep 29,ARG
NC,49,47,Sep 23,Sep 23,Rasmussen
NC,35,41,Sep 15,Sep 18,Elon U.
NC,47,50,Sep 18,Sep 18,Rasmussen
NC,41,52,Sep 13,Sep 16,ARG
NC,47,48,Sep 14,Sep 16,Opinion Research
NC,38,58,Sep 06,Sep 08,SurveyUSA
NC,43,45,Aug 19,Aug 19,Insider Advantage
NC,42,46,Aug 13,Aug 13,Rasmussen
NC,45,49,Aug 09,Aug 11,SurveyUSA
NC,42,45,Jul 15,Jul 15,Rasmussen
NC,45,50,Jul 12,Jul 14,SurveyUSA
NC,43,45,Jun 10,Jun 10,Rasmussen
NC,43,51,May 17,May 19,SurveyUSA
NC,45,48,May 08,May 08,Rasmussen
NC,39,48,Apr 09,Apr 10,Tel Opinion Research
NC,47,47,Apr 10,Apr 10,Rasmussen
NC,42,51,Mar 20,Mar 20,Rasmussen
NC,45,47,Feb 26,Feb 28,SurveyUSA
ND,45,43,Oct 06,Oct 08,Minnesota State U.
ND,43,52,Sep 15,Sep 17,ARG
ND,41,55,Sep 08,Sep 08,Rasmussen
ND,43,40,Aug 23,Aug 27,DFM Research
ND,43,43,Jul 08,Jul 08,Rasmussen
ND,38,44,Mar 24,Apr 03,Dakota Wesleyan U.
ND,46,42,Feb 26,Feb 28,SurveyUSA
OH,50,44,Oct 30,Nov 02,Zogby
OH,52,46,Oct 22,Oct 31,Columbus Dispatch
OH,45,47,Oct 29,Oct 30,Mason-Dixon
OH,51,47,Oct 23,Oct 28,Opinion Research
OH,48,41,Oct 23,Oct 27,Financial Dynamics
OH,49,40,Oct 25,Oct 27,LA Times
OH,49,45,Oct 26,Oct 27,SurveyUSA
OH,48,41,Oct 22,Oct 26,GfK Roper
OH,48,45,Oct 24,Oct 26,Marist Coll.
OH,49,45,Oct 26,Oct 26,Rasmussen
OH,50,45,Oct 23,Oct 26,Zogby
OH,51,42,Oct 22,Oct 26,Quinnipiac U.
OH,57,41,Oct 12,Oct 23,Ohio U.
OH,49,46,Oct 18,Oct 22,U. of Cincinnati
OH,52,42,Oct 22,Oct 22,Insider Advantage
OH,53,41,Oct 19,Oct 22,U. of Wisconsin
OH,50,46,Oct 19,Oct 21,Opinion Research
OH,52,38,Oct 16,Oct 21,Quinnipiac U.
OH,47,49,Oct 19,Oct 19,Rasmussen
OH,51,42,Oct 16,Oct 19,Suffolk U.
OH,45,46,Oct 16,Oct 17,Mason-Dixon
OH,45,41,Sep 24,Oct 15,U. of Akron
OH,49,49,Oct 14,Oct 14,Rasmussen
OH,50,45,Oct 12,Oct 13,SurveyUSA
OH,49,47,Oct 12,Oct 12,Rasmussen
OH,49,44,Oct 09,Oct 09,Insider Advantage
OH,46,48,Oct 04,Oct 08,U. of Cincinnati
OH,49,45,Oct 05,Oct 08,Marist Coll.
OH,48,45,Oct 04,Oct 07,ARG
OH,50,47,Oct 03,Oct 06,Opinion Research
OH,47,48,Oct 05,Oct 05,Rasmussen
OH,51,45,Oct 03,Oct 05,ABC News
OH,51,45,Oct 03,Oct 05,Washington Post
OH,49,42,Sep 24,Oct 03,Columbus Dispatch
OH,47,45,Sep 29,Sep 29,Insider Advantage
OH,48,49,Sep 28,Sep 29,SurveyUSA
OH,50,42,Sep 27,Sep 29,Quinnipiac U.
OH,47,48,Sep 28,Sep 28,Rasmussen
OH,46,47,Sep 23,Sep 23,Rasmussen
OH,46,46,Sep 22,Sep 22,Insider Advantage
OH,46,50,Sep 21,Sep 21,Rasmussen
OH,46,45,Sep 14,Sep 17,U. of Wisconsin
OH,42,48,Sep 12,Sep 16,U. of Cincinnati
OH,49,47,Sep 14,Sep 16,Opinion Research
OH,41,42,Sep 11,Sep 15,Financial Dynamics
OH,47,45,Sep 11,Sep 15,Marist Coll.
OH,45,48,Sep 14,Sep 14,Rasmussen
OH,45,49,Sep 12,Sep 14,SurveyUSA
OH,42,46,Sep 10,Sep 13,Suffolk U.
OH,44,50,Sep 10,Sep 13,ARG
OH,44,48,Sep 05,Sep 10,U. of Cincinnati
OH,47,48,Sep 09,Sep 10,Insider Advantage
OH,49,44,Sep 05,Sep 09,Quinnipiac U.
OH,44,51,Sep 07,Sep 07,Rasmussen
OH,47,45,Aug 31,Sep 02,Opinion Research
OH,44,43,Aug 17,Aug 24,Quinnipiac U.
OH,41,42,Aug 12,Aug 21,Columbus Dispatch
OH,41,45,Aug 18,Aug 18,Rasmussen
OH,40,40,Jul 17,Aug 17,U. of Akron
OH,46,44,Jul 23,Jul 29,Quinnipiac U.
OH,40,46,Jul 21,Jul 21,Rasmussen
OH,48,46,Jun 20,Jun 22,SurveyUSA
OH,43,44,Jun 17,Jun 17,Rasmussen
OH,48,42,Jun 09,Jun 16,Quinnipiac U.
OH,40,44,May 13,May 20,Quinnipiac U.
OH,48,39,May 16,May 18,SurveyUSA
OH,44,45,May 14,May 14,Rasmussen
OH,42,43,Apr 23,Apr 29,Quinnipiac U.
OH,45,47,Apr 11,Apr 13,SurveyUSA
OH,40,47,Apr 08,Apr 08,Rasmussen
OH,43,42,Mar 24,Mar 31,Quinnipiac U.
OH,43,50,Mar 14,Mar 16,SurveyUSA
OH,40,46,Mar 13,Mar 13,Rasmussen
OH,50,40,Feb 26,Feb 28,SurveyUSA
OH,48,47,Feb 21,Feb 24,U. of Cincinnati
OH,41,42,Feb 17,Feb 17,Rasmussen
OH,47,44,Feb 15,Feb 17,SurveyUSA
OH,40,42,Feb 06,Feb 12,Quinnipiac U.
OH,43,50,Jan 04,Jan 06,SurveyUSA
OK,34,63,Oct 28,Oct 29,SurveyUSA
OK,35,59,Oct 18,Oct 19,SurveyUSA
OK,32,63,Oct 10,Oct 12,TV Poll
OK,29,66,Oct 04,Oct 05,TV Poll
OK,34,64,Sep 28,Sep 29,SurveyUSA
OK,34,61,Sep 15,Sep 18,ARG
OK,32,63,Sep 11,Sep 11,Rasmussen
OK,32,65,Sep 05,Sep 07,SurveyUSA
OK,24,56,Jul 19,Jul 23,Sooner Poll
OK,34,57,Feb 26,Feb 28,SurveyUSA
OR,54,42,Oct 30,Oct 30,Rasmussen
OR,57,38,Oct 29,Oct 30,SurveyUSA
OR,49,41,Oct 18,Oct 27,Northern Arizona U.
OR,57,38,Oct 25,Oct 26,SurveyUSA
OR,48,34,Oct 10,Oct 20,Riley Research
OR,54,41,Oct 14,Oct 14,Rasmussen
OR,57,40,Oct 11,Oct 12,SurveyUSA
OR,54,43,Oct 09,Oct 09,Rasmussen
OR,52,41,Sep 22,Sep 23,SurveyUSA
OR,52,41,Sep 19,Sep 22,ARG
OR,51,47,Sep 15,Sep 15,Rasmussen
OR,50,40,Sep 11,Sep 14,Davis Hibbitts Midghall
OR,47,37,Aug 07,Aug 07,Rasmussen
OR,48,45,Aug 02,Aug 04,SurveyUSA
OR,46,37,Jul 16,Jul 16,Rasmussen
OR,48,45,Jun 17,Jun 19,SurveyUSA
OR,46,38,Jun 11,Jun 11,Rasmussen
OR,49,39,May 16,May 18,SurveyUSA
OR,52,38,May 07,May 07,Rasmussen
OR,51,42,Apr 11,Apr 13,SurveyUSA
OR,48,42,Mar 26,Mar 26,Rasmussen
OR,50,41,Mar 14,Mar 16,SurveyUSA
OR,49,41,Feb 26,Feb 28,SurveyUSA
OR,46,38,Feb 07,Feb 18,Riley Res.
OR,48,47,Feb 15,Feb 17,SurveyUSA
OR,49,40,Feb 13,Feb 13,Rasmussen
OR,47,47,Jan 11,Jan 13,SurveyUSA
PA,54,40,Oct 30,Nov 02,Zogby
PA,52,45,Oct 28,Nov 01,Muhlenberg Coll.
PA,52,46,Nov 01,Nov 01,Rasmussen
PA,51,44,Oct 29,Oct 31,SurveyUSA
PA,51,45,Oct 29,Oct 31,ARG
PA,51,47,Oct 30,Oct 30,Rasmussen
PA,47,43,Oct 27,Oct 28,Mason-Dixon
PA,55,43,Oct 23,Oct 28,Opinion Research
PA,53,41,Oct 23,Oct 27,Muhlenberg Coll.
PA,53,46,Oct 27,Oct 27,Rasmussen
PA,55,41,Oct 26,Oct 27,Marist Coll.
PA,50,41,Oct 20,Oct 26,Temple U.
PA,51,42,Oct 26,Oct 26,Insider Advantage
PA,52,40,Oct 22,Oct 26,GfK Roper
PA,53,40,Oct 21,Oct 26,Franklin+Marshall Coll.
PA,53,40,Oct 22,Oct 26,Siena Coll.
PA,53,41,Oct 22,Oct 26,Quinnipiac U.
PA,52,41,Oct 19,Oct 22,U. of Wisconsin
PA,52,42,Oct 18,Oct 22,Muhlenberg Coll.
PA,53,41,Oct 21,Oct 22,SurveyUSA
PA,53,40,Oct 16,Oct 21,Quinnipiac U.
PA,51,41,Oct 16,Oct 20,Financial Dynamics
PA,48,40,Oct 16,Oct 19,Susquehanna Polling
PA,52,39,Oct 13,Oct 17,Muhlenberg Coll.
PA,55,40,Oct 11,Oct 13,SurveyUSA
PA,51,38,Oct 08,Oct 12,Muhlenberg Coll.
PA,50,39,Oct 05,Oct 09,Muhlenberg Coll.
PA,53,41,Oct 05,Oct 08,Marist Coll.
PA,52,42,Oct 03,Oct 06,West Chester U.
PA,54,41,Oct 06,Oct 06,Rasmussen
PA,55,40,Oct 05,Oct 06,SurveyUSA
PA,50,40,Sep 30,Oct 04,Muhlenberg Coll.
PA,49,41,Sep 25,Sep 29,Muhlenberg Coll.
PA,54,39,Sep 27,Sep 29,Quinnipiac U.
PA,48,43,Sep 23,Sep 28,Franklin+Marshall Coll.
PA,50,42,Sep 28,Sep 28,Rasmussen
PA,47,43,Sep 21,Sep 25,Muhlenberg Coll.
PA,49,45,Sep 24,Sep 24,Rasmussen
PA,50,44,Sep 23,Sep 24,SurveyUSA
PA,53,44,Sep 21,Sep 23,Opinion Research
PA,43,41,Sep 18,Sep 22,Financial Dynamics
PA,50,46,Sep 20,Sep 22,ARG
PA,48,45,Sep 21,Sep 21,Rasmussen
PA,46,44,Sep 16,Sep 18,Mason-Dixon
PA,45,45,Sep 14,Sep 17,U. of Wisconsin
PA,49,44,Sep 11,Sep 15,Marist Coll.
PA,47,47,Sep 14,Sep 14,Rasmussen
PA,48,45,Sep 05,Sep 09,Quinnipiac U.
PA,47,45,Sep 07,Sep 07,Rasmussen
PA,48,43,Aug 24,Aug 26,Opinion Research
PA,49,42,Aug 17,Aug 24,Quinnipiac U.
PA,45,40,Aug 19,Aug 19,Rasmussen
PA,46,41,Aug 11,Aug 14,Susquehanna Polling
PA,46,41,Aug 04,Aug 10,Franklin+Marshall Coll.
PA,49,42,Jul 23,Jul 29,Quinnipiac U.
PA,47,42,Jul 23,Jul 23,Rasmussen
PA,46,42,Jun 22,Jun 22,Rasmussen
PA,52,40,Jun 09,Jun 16,Quinnipiac U.
PA,45,43,May 21,May 21,Rasmussen
PA,46,40,May 13,May 20,Quinnipiac U.
PA,48,40,May 16,May 18,SurveyUSA
PA,46,39,May 01,May 06,Susquehanna Polling
PA,47,38,Apr 23,Apr 29,Quinnipiac U.
PA,43,44,Apr 24,Apr 24,Rasmussen
PA,47,39,Apr 09,Apr 09,Rasmussen
PA,47,40,Mar 27,Apr 09,Temple U.
PA,43,39,Mar 24,Mar 31,Quinnipiac U.
PA,41,45,Mar 05,Mar 10,Susquehanna Polling
PA,43,44,Mar 10,Mar 10,Rasmussen
PA,42,47,Feb 26,Feb 28,SurveyUSA
PA,43,44,Feb 13,Feb 18,Franklin+Marshall Coll.
PA,39,42,Feb 09,Feb 17,Muhlenberg Coll.
PA,49,39,Feb 14,Feb 14,Rasmussen
PA,42,41,Feb 06,Feb 12,Quinnipiac U.
PA,38,46,Jan 08,Jan 08,Rasmussen
RI,48,26,Sep 30,Oct 01,Opinion Factor
RI,47,34,Sep 15,Sep 16,Brown U.
RI,58,39,Sep 13,Sep 13,Rasmussen
RI,59,33,Sep 11,Sep 13,ARG
RI,51,30,Aug 18,Aug 20,Brown U.
RI,55,31,Jun 30,Jun 30,Rasmussen
RI,53,25,Jun 18,Jun 27,Rhode Island Coll.
RI,53,38,Feb 26,Feb 28,SurveyUSA
SC,44,52,Oct 28,Oct 29,SurveyUSA
SC,42,53,Oct 25,Oct 28,Princeton Survey
SC,43,54,Oct 20,Oct 20,Rasmussen
SC,35,55,Sep 28,Oct 19,Winthrop U.
SC,41,55,Oct 12,Oct 13,SurveyUSA
SC,39,58,Sep 21,Sep 22,SurveyUSA
SC,45,51,Sep 18,Sep 18,Rasmussen
SC,37,59,Sep 14,Sep 17,ARG
SC,39,48,Jun 05,Jun 05,Rasmussen
SC,45,48,Feb 26,Feb 28,SurveyUSA
SD,44,53,Oct 30,Oct 30,Rasmussen
SD,41,48,Oct 13,Oct 15,Mason-Dixon
SD,39,55,Sep 19,Sep 21,ARG
SD,37,54,Sep 09,Sep 09,Rasmussen
SD,43,47,Jul 09,Jul 09,Rasmussen
SD,34,51,Mar 24,Apr 03,Dakota Wesleyan U.
SD,38,48,Mar 04,Mar 04,Rasmussen
SD,43,47,Feb 26,Feb 28,SurveyUSA
TN,42,54,Oct 16,Oct 16,Rasmussen
TN,39,58,Sep 29,Sep 29,Rasmussen
TN,35,55,Sep 15,Sep 27,Middle Tenn. State U.
TN,36,48,Sep 15,Sep 27,Middle Tenn. State U.
TN,39,55,Sep 22,Sep 24,Mason-Dixon
TN,36,59,Sep 16,Sep 19,ARG
TN,32,56,Aug 20,Aug 20,Rasmussen
TN,36,51,Jun 24,Jun 24,Rasmussen
TN,31,58,Apr 03,Apr 03,Rasmussen
TN,38,54,Feb 26,Feb 28,SurveyUSA
TN,36,50,Feb 11,Feb 23,Middle Tenn. State U.
TX,40,51,Oct 15,Oct 22,U. of Texas
TX,44,54,Oct 21,Oct 21,Rasmussen
TX,38,57,Oct 05,Oct 08,ARG
TX,43,52,Sep 29,Sep 29,Rasmussen
TX,36,57,Sep 13,Sep 16,ARG
TX,41,50,Aug 21,Aug 21,Rasmussen
TX,33,43,Jul 18,Jul 30,U. of Texas
TX,41,50,Jul 30,Jul 30,Rasmussen
TX,39,48,Jun 25,Jun 25,Rasmussen
TX,38,43,Jun 12,Jun 20,Texas Lyceum
TX,39,52,Jun 02,Jun 02,Rasmussen
TX,43,48,May 01,May 01,Rasmussen
TX,46,47,Feb 26,Feb 28,SurveyUSA
TX,41,49,Feb 23,Feb 25,SurveyUSA
TX,44,52,Feb 14,Feb 17,Opinion Res.
UT,32,57,Oct 24,Oct 30,Dan Jones
UT,32,55,Oct 23,Oct 25,Mason-Dixon
UT,29,65,Sep 10,Sep 13,ARG
UT,24,62,Sep 08,Sep 11,Dan Jones
UT,32,64,Sep 10,Sep 10,Rasmussen
UT,23,62,Aug 13,Aug 15,Mason-Dixon
UT,29,57,Jun 16,Jun 19,Dan Jones
UT,33,52,Jun 19,Jun 19,Rasmussen
UT,27,62,May 13,May 19,Dan Jones
UT,39,50,Feb 26,Feb 28,SurveyUSA
VT,60,36,Oct 09,Oct 09,Rasmussen
VT,56,38,Sep 18,Sep 22,ARG
VT,60,36,Sep 13,Sep 13,Rasmussen
VT,63,29,Feb 26,Feb 28,SurveyUSA
VA,51,45,Oct 30,Nov 02,Zogby
VA,50,46,Oct 30,Nov 01,SurveyUSA
VA,47,44,Oct 29,Oct 30,Mason-Dixon
VA,53,44,Oct 23,Oct 28,Opinion Research
VA,48,44,Oct 23,Oct 27,Financial Dynamics
VA,51,47,Oct 26,Oct 27,Marist Coll.
VA,48,39,Oct 19,Oct 26,Roanoke Coll.
VA,49,42,Oct 22,Oct 26,GfK Roper
VA,51,47,Oct 26,Oct 26,Rasmussen
VA,52,43,Oct 25,Oct 26,SurveyUSA
VA,52,45,Oct 23,Oct 26,Zogby
VA,52,44,Oct 22,Oct 25,Washington Post
VA,51,40,Oct 20,Oct 22,Virg. Commonwealth U.
VA,47,45,Oct 20,Oct 21,Mason-Dixon
