State,Kerry,Bush,Date,Pollster
PA,46,47,Sep 19,Rasmussen
PA,47,46,Sep 16,ARG
PA,45,44,Sep 14,Mason-Dixon
PA,51,48,Sep 14,Zogby
PA,42,46,Sep 12,Quinnipiac Univ.
PA,48,46,Sep 12,Rasmussen
PA,49,49,Sep 11,Franklin and Marshall Coll.
PA,47,47,Sep 10,ABC News
PA,48,49,Sep 08,Rasmussen
PA,49,47,Sep 07,SurveyUSA
PA,47,48,Sep 05,Gallup
PA,47,47,Aug 26,Gallup
PA,48,45,Aug 21,Zogby & Pew
PA,52,44,Aug 21,Zogby
PA,47,42,Aug 16,Quinnipiac Univ.
PA,53,41,Aug 02,Survey USA
PA,53,45,Jul 30,Zogby
PA,52,45,Jul 23,Zogby
PA,48,38,Jul 21,LA Times
PA,52,45,Jul 10,Zogby
PA,48,43,Jun 30,Rasmussen
PA,43,45,Jun 23,Quinnipiac & Fox
PA,48,43,Jun 23,Rasmussen
PA,49,43,Jun 22,Quinnipiac Univ.
PA,52,45,Jun 20,Zogby
PA,47,46,Jun 09,Survey USA
PA,44,41,May 25,Survey USA
PA,51,43,May 23,Zogby
RI,54,41,Oct 25,SurveyUSA
RI,56,36,Oct 09,SurveyUSA
RI,55,37,Sep 18,SurveyUSA
RI,58,30,Sep 11,ARG
RI,49,25,Jun 14,Brown Univ.
RI,53,31,Feb 04,Rhode Island College
SC,43,54,Oct 29,SurveyUSA
SC,39,57,Oct 22,SurveyUSA
SC,40,53,Oct 19,Mason-Dixon
SC,42,55,Oct 10,SurveyUSA
SC,38,58,Sep 19,SurveyUSA
SC,42,51,Sep 19,Rasmussen
SC,40,52,Sep 14,ARG
SC,44,50,Sep 12,Rasmussen
SC,42,53,Aug 18,Survey USA
SC,44,51,Jul 12,Survey USA
SC,40,55,Jun 29,Public Opin. Strat.
SC,39,49,May 31,Rasmussen
SD,36,55,Oct 19,Mason-Dixon
SD,42,52,Oct 11,Rasmussen
SD,29,57,Sep 25,Zogby
SD,37,50,Sep 20,Mason-Dixon
SD,39,58,Sep 09,ARG
SD,41,54,Sep 07,Rasmussen
SD,35,51,May 21,Zogby
TN,40,58,Oct 28,SurveyUSA
TN,41,53,Oct 19,Mason-Dixon
TN,38,60,Oct 17,SurveyUSA
TN,48,50,Oct 15,Zogby
TN,37,54,Oct 12,Univ. of Tennessee
TN,39,50,Oct 09,Middle Tenn. State Univ.
TN,39,58,Oct 03,SurveyUSA
TN,48,49,Oct 02,Zogby
TN,41,55,Sep 20,SurveyUSA
TN,43,50,Sep 16,ARG
TN,46,51,Sep 14,Zogby
TN,37,53,Sep 12,Mason-Dixon
TN,50,48,Aug 21,Zogby
TN,46,48,Aug 02,Survey USA
TN,49,48,Jul 30,Zogby
TN,49,47,Jul 23,Zogby
TN,48,48,Jul 10,Zogby
TN,39,57,Jun 20,Zogby
TN,41,49,Jun 16,Rasmussen
TN,43,54,Jun 06,Zogby
TN,47,49,May 23,Zogby
TX,37,59,Oct 26,SurveyUSA
TX,32,58,Oct 19,Sripps Research
TX,37,60,Oct 09,SurveyUSA
TX,37,58,Sep 19,SurveyUSA
TX,36,58,Sep 17,ARG
TX,37,58,Aug 22,Survey USA
TX,37,55,Jun 30,Rasmussen
TX,38,58,May 31,Rasmussen
TX,29,58,May 15,Rasmussen
UT,24,69,Oct 24,Dan Jones
UT,23,68,Oct 23,Valley Research
UT,27,64,Sep 11,ARG
UT,25,65,Sep 07,Dan Jones
UT,22,67,May 13,Dan Jones
VT,53,40,Oct 10,Rsearch
VT,50,40,Sep 10,ARG
VA,33,51,Nov 03,Rasmussen
VA,47,51,Oct 27,SurveyUSA
VA,44,50,Oct 23,Mason-Dixon
VA,40,49,Oct 22,Times-Dispatch
VA,47,50,Oct 15,Zogby
VA,47,50,Oct 02,Zogby
VA,43,49,Sep 25,Mason-Dixon
VA,42,53,Sep 21,SurveyUSA
VA,47,50,Sep 14,Zogby
VA,43,49,Sep 12,ARG
VA,45,49,Aug 22,Survey USA
VA,45,48,Jul 31,Rasmussen
VA,45,50,Jul 08,Survey USA
VA,45,47,May 31,Rasmussen
WA,51,47,Oct 29,SurveyUSA
WA,50,45,Oct 25,Mason-Dixon
WA,52,45,Oct 15,SurveyUSA
WA,54,44,Oct 15,Zogby
WA,50,44,Oct 14,Elway Poll
WA,54,44,Oct 02,Zogby
WA,51,46,Sep 19,SurveyUSA
WA,51,42,Sep 18,IPSOS
WA,52,38,Sep 17,Elway Poll
WA,50,43,Sep 16,Rasmussen
WA,51,44,Sep 10,ARG
WA,52,44,Sep 05,Gallup
WA,53,45,Aug 21,Zogby
WA,51,43,Aug 17,Survey USA
WA,51,43,Aug 02,Survey USA
WA,53,45,Jul 30,Zogby
WA,52,44,Jul 23,Zogby
WA,53,44,Jul 10,Zogby
WA,49,41,Jun 28,Fairbank-Maslin
WA,43,43,Jun 24,Moore Information
WA,52,45,Jun 20,Zogby
WA,46,42,Jun 11,Mason-Dixon
WA,46,45,Jun 11,Moore Information
WA,49,44,Jun 03,Survey USA
WA,53,44,May 23,Zogby
WV,43,51,Oct 27,Mason-Dixon
WV,46,49,Oct 15,Zogby
WV,44,49,Oct 14,Mason-Dixon
WV,44,50,Oct 02,Zogby
WV,42,51,Sep 18,Gallup
WV,44,50,Sep 15,Rasmussen
WV,39,51,Sep 14,Zogby
WV,46,46,Sep 14,ARG
WV,44,45,Sep 13,Mason-Dixon
WV,42,49,Aug 21,Zogby
WV,48,44,Jul 30,Zogby
WV,47,44,Jul 28,ARG
WV,44,48,Jul 23,Zogby
WV,43,51,Jul 10,Zogby
WV,43,49,Jun 20,ARG
WV,43,49,Jun 20,Zogby
WV,47,44,Jun 17,ARG
WV,47,41,May 28,Mason-Dixon
WV,46,48,May 23,Zogby
WI,45,48,Oct 30,Opinion Dynamics
WI,45,49,Oct 28,Gallup
WI,48,46,Oct 27,Mason-Dixon
WI,48,47,Oct 25,ARG
WI,45,48,Oct 24,Badger Poll
WI,48,46,Oct 24,Zogby
WI,43,51,Oct 17,Gallup
WI,47,47,Oct 17,ARG
WI,45,45,Oct 16,Mason-Dixon
WI,47,48,Oct 16,Univ. of MN
WI,51,48,Oct 15,Zogby
WI,47,43,Oct 09,Market Shares
WI,48,43,Oct 08,St. Norbert Coll
WI,45,48,Oct 03,Gallup
WI,51,48,Oct 02,Zogby
WI,40,50,Sep 23,Harris
WI,45,51,Sep 20,IPSOS
WI,38,52,Sep 17,Badger Poll
WI,44,50,Sep 17,ABC News
WI,44,46,Sep 14,Mason-Dixon
WI,50,48,Sep 14,Zogby
WI,46,46,Sep 13,ARG
WI,44,52,Sep 10,Gallup
WI,44,48,Aug 24,LA Times
WI,51,46,Aug 21,Zogby
WI,50,48,Jul 30,Zogby
WI,50,46,Jul 23,Zogby
WI,48,42,Jul 15,ARG
WI,45,46,Jul 12,Hubert Humphrey Inst
WI,53,44,Jul 10,Zogby
WI,42,46,Jun 23,Badger
WI,51,46,Jun 20,Zogby
WI,42,44,Jun 08,LA Times
WI,52,44,May 23,Zogby
WY,29,65,Sep 09,ARG
